family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,4096,4096,20.0,1,134217728,4294967296,1.0,warps,23,0,0,0,128,2684354560,0.00e+00,32,1024,,,,32,,4,10.6637,2.16678,2.61376,22.7584,27.87226,1.0,21,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,8192,2048,1.25,0,67108864,67108864,1.0,warps,18,0,0,0,128,83886080,0.00e+00,1,1024,,,,1,,4,0.9928,0.33792,0.35482,0.3369,0.35226,1.0,18,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,8192,2048,0.625,0,134217728,134217728,1.0,warps,21,0,0,0,128,83886080,0.00e+00,1,1024,,,,1,,4,1.0,0.68198,0.70349,0.68506,0.70349,1.0,21,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,8192,2048,2.5,1,67108864,134217728,1.0,warps,19,0,0,0,128,167772160,0.00e+00,2,1024,,,,2,,4,1.9581,0.34202,0.3543,0.67379,0.69376,1.0,18,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,8192,2048,1.25,1,134217728,268435456,1.0,warps,25,0,0,0,128,167772160,0.00e+00,2,1024,,,,2,,4,1.9848,0.68198,0.70656,1.35578,1.40237,1.0,21,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,8192,2048,5.0,1,67108864,268435456,1.0,warps,19,0,0,0,128,335544320,0.00e+00,4,1024,,,,4,,4,3.2698,0.38707,0.42701,1.35066,1.39622,1.0,18,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,8192,2048,2.5,1,134217728,536870912,1.0,warps,24,0,0,0,128,335544320,0.00e+00,4,1024,,,,4,,4,4.0029,0.68301,0.71117,2.72998,2.84672,1.0,21,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,8192,2048,10.0,1,67108864,536870912,1.0,warps,19,0,0,0,128,671088640,0.00e+00,8,1024,,,,8,,4,3.2382,0.73421,0.87706,2.70234,2.84006,1.0,18,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,8192,2048,5.0,1,134217728,1073741824,1.0,warps,23,0,0,0,128,671088640,0.00e+00,8,1024,,,,8,,4,6.1529,0.71578,0.93082,5.64224,5.72723,1.0,21,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,8192,2048,20.0,1,67108864,1073741824,1.0,warps,19,0,0,0,128,1342177280,0.00e+00,16,1024,,,,16,,4,3.9282,1.30867,1.44794,5.60538,5.68781,1.0,18,0,0,0
