family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills,f_reread,u_reread,param_M,param_N
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,4096,4096,20.0,1,67108864,1073741824,1.0,warps,46,0.0,0.0,0,256.0,1342177280,0.0,16,1024.0,,,,16.0,,4.0,1.1841,1.05011,1.05062,1.24083,1.24403,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,4096,4096,10.0,1,134217728,2147483648,1.0,regs,57,0.0,0.0,0,256.0,1342177280,0.0,16,1024.0,,,,16.0,,4.0,1.5172,0.9879,0.98842,1.49555,1.49965,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,4096,4096,40.0,1,67108864,2147483648,1.0,warps,46,0.0,0.0,0,256.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,1.1892,2.07949,2.08051,2.47142,2.47424,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,4096,4096,20.0,1,134217728,4294967296,1.0,regs,57,0.0,0.0,0,256.0,2684354560,0.0,32,1024.0,,,,32.0,,4.0,1.5277,1.95354,1.95443,2.9801,2.98573,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,8192,2048,1.25,1,67108864,67108864,1.0,warps,45,0.0,0.0,0,256.0,83886080,0.0,1,1024.0,,,,1.0,,4.0,1.0028,0.09011,0.09088,0.09062,0.09114,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,8192,2048,0.625,0,134217728,134217728,1.0,warps,48,0.0,0.0,0,256.0,83886080,0.0,1,1024.0,,,,1.0,,4.0,0.9975,0.10368,0.10445,0.10368,0.10419,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,8192,2048,2.5,1,67108864,134217728,1.0,warps,46,0.0,0.0,0,256.0,167772160,0.0,2,1024.0,,,,2.0,,4.0,1.1056,0.14976,0.15027,0.16486,0.16614,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,8192,2048,1.25,1,134217728,268435456,1.0,regs,57,0.0,0.0,0,256.0,167772160,0.0,2,1024.0,,,,2.0,,4.0,1.3652,0.14362,0.14438,0.1961,0.19712,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,8192,2048,5.0,1,67108864,268435456,1.0,warps,46,0.0,0.0,0,256.0,335544320,0.0,4,1024.0,,,,4.0,,4.0,1.1464,0.27827,0.27891,0.31872,0.31974,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,8192,2048,2.5,1,134217728,536870912,1.0,regs,57,0.0,0.0,0,256.0,335544320,0.0,4,1024.0,,,,4.0,,4.0,1.4524,0.26291,0.26368,0.38144,0.38298,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,8192,2048,10.0,1,67108864,536870912,1.0,warps,46,0.0,0.0,0,256.0,671088640,0.0,8,1024.0,,,,8.0,,4.0,1.1688,0.53606,0.53683,0.62515,0.62746,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,8192,2048,5.0,1,134217728,1073741824,1.0,regs,57,0.0,0.0,0,256.0,671088640,0.0,8,1024.0,,,,8.0,,4.0,1.4934,0.50483,0.50534,0.75238,0.75469,1.0,48,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,8192,2048,20.0,1,67108864,1073741824,1.0,warps,46,0.0,0.0,0,256.0,1342177280,0.0,16,1024.0,,,,16.0,,4.0,1.1851,1.05037,1.05088,1.24237,1.24544,1.0,45,0.0,0.0,0,1,1,,
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,8192,2048,10.0,1,134217728,2147483648,1.0,regs,57,0.0,0.0,0,256.0,1342177280,0.0,16,1024.0,,,,16.0,,4.0,1.5164,0.98611,0.98893,1.49734,1.49965,1.0,48,0.0,0.0,0,1,1,,
